employee_id,name,years_in_company,department,education_level,job_level,current_salary,previous_promotions,last_promotion_year,performance_score,manager_feedback,peer_feedback,kpi_score,training_hours_completed,certifications_count,innovation_score,attendance_rate,overtime_hours,internal_initiatives,team_collaboration_score,mentorship_score,disciplinary_actions,project_delivery_success_rate,client_feedback_score,skill_progression_score,cross_functional_exposure,workload_balance,learning_agility,department_budget_factor,vacant_positions_in_level,policy_override_flag,remote_work_eligibility,promotion_received,promotion_year,salary_increase_percent,explanation_notes
E00015,Employee_15,4,IT,Diploma,Senior,1264702,0,2024,4.08,3.34,3.4,1.0,36,1,0.16,0.94,24,1,0.94,0.62,0,1.0,4.92,0.45,5,0.46,0.77,1.21,1,False,True,0,,0,
E00016,Employee_16,1,Operations,Bachelor,Mid,662570,0,2024,4.2,4.25,4.64,0.91,44,1,0.42,0.99,26,2,0.74,0.22,0,0.91,3.57,1.0,1,0.62,0.26,1.1,0,False,True,0,,0,
E00017,Employee_17,21,Legal,PhD,Entry,590367,1,2010,2.37,1.52,2.69,0.93,32,1,0.29,0.92,28,2,0.07,1.0,0,0.84,4.49,0.67,2,0.46,0.62,1.3,2,False,False,0,,0,
E00018,Employee_18,9,Operations,Master,Mid,568339,0,2022,2.48,1.73,4.68,1.0,69,2,0.29,0.86,13,0,0.77,0.44,0,0.71,2.79,0.85,5,0.69,0.39,0.89,2,False,True,0,,0,
E00019,Employee_19,7,HR,Diploma,Senior,1567471,2,2024,3.52,3.11,4.03,1.0,17,2,0.33,0.94,10,0,0.42,0.73,0,0.8,2.42,0.86,1,1.0,1.0,1.13,3,False,False,0,,0,
E00020,Employee_20,16,Sales,Master,Entry,508864,2,2012,1.42,1.0,3.9,0.81,33,2,0.08,0.96,52,0,0.79,0.81,0,0.93,3.54,0.85,5,0.6,0.66,1.16,0,False,False,0,,0,
E00021,Employee_21,24,Operations,Bachelor,Mid,992722,0,2006,1.13,1.29,4.04,0.59,66,6,0.47,0.93,14,0,0.41,0.42,0,0.65,3.46,0.41,3,1.0,1.0,1.14,3,False,False,0,,0,
E00022,Employee_22,5,IT,Bachelor,Entry,741083,0,2022,3.52,3.48,3.7,0.88,16,2,0.36,1.0,2,1,0.4,0.46,1,1.0,4.22,0.4,0,0.67,0.75,0.87,1,False,True,0,,0,
E00023,Employee_23,24,IT,PhD,Manager,1980356,2,2006,4.05,3.81,4.67,1.0,26,5,0.1,0.89,173,0,0.61,0.18,0,0.63,4.88,0.47,5,0.56,0.46,0.99,3,False,True,1,2025.0,10,
E00024,Employee_24,14,Operations,PhD,Mid,826637,1,2019,1.54,1.0,2.68,0.88,26,7,0.4,0.86,12,0,0.78,0.18,0,0.76,3.5,0.73,2,0.81,0.53,0.79,2,False,True,0,,0,
E00025,Employee_25,6,Operations,Bachelor,Senior,1469367,1,2020,3.9,3.03,2.93,1.0,4,3,0.4,0.93,21,0,0.31,1.0,0,0.9,3.94,0.5,3,0.98,0.89,1.02,1,False,True,0,,0,
E00026,Employee_26,16,Finance,Bachelor,Mid,1077132,1,2009,2.82,3.19,4.63,1.0,13,1,0.11,0.94,8,0,0.59,0.86,1,0.91,5.0,0.52,5,0.84,0.59,0.78,1,True,True,0,,0,
E00027,Employee_27,2,Finance,Bachelor,Senior,1478662,0,2023,2.16,1.0,3.25,0.76,0,0,0.28,0.96,22,3,0.9,0.82,0,0.82,4.25,0.82,5,0.71,0.6,1.05,2,False,False,0,,0,
E00028,Employee_28,14,Operations,Master,Entry,666100,3,2011,4.25,4.35,3.81,1.0,39,2,0.31,0.91,35,3,0.13,0.11,0,0.83,4.91,0.86,0,0.91,0.67,1.18,1,False,False,0,,0,
E00029,Employee_29,1,IT,Master,Entry,607405,0,2024,3.85,3.49,4.49,1.0,20,1,0.11,0.88,7,0,0.39,0.64,0,0.76,3.6,0.33,3,0.95,0.55,0.99,0,False,False,0,,0,
E00030,Employee_30,3,Finance,PhD,Entry,660733,1,2022,2.82,3.24,3.41,0.91,20,4,0.18,0.98,50,1,0.99,0.71,0,0.46,3.1,0.5,2,0.26,0.74,1.22,0,False,True,1,2025.0,19,
E00031,Employee_31,14,Operations,PhD,Entry,578808,1,2016,3.28,2.92,3.66,1.0,56,5,0.17,0.87,79,3,0.46,0.91,0,0.9,3.5,0.34,5,1.0,0.69,0.84,0,False,False,0,,0,
E00032,Employee_32,16,Finance,Bachelor,Entry,544648,1,2024,3.72,5.0,3.28,1.0,59,3,0.05,0.88,26,0,0.5,1.0,0,0.54,4.91,0.83,2,0.59,0.46,1.38,1,False,False,0,,0,
E00033,Employee_33,2,HR,PhD,Mid,959401,0,2025,2.6,1.88,4.0,1.0,18,1,0.3,0.91,11,1,1.0,0.43,0,0.85,3.86,0.49,3,0.41,1.0,0.76,0,False,False,0,,0,
E00034,Employee_34,14,IT,Master,Mid,920823,1,2012,3.71,4.64,3.64,1.0,63,2,0.65,0.99,17,3,0.58,0.49,0,0.73,1.86,0.15,4,0.89,0.66,1.09,2,False,True,0,,0,
E00035,Employee_35,24,IT,Bachelor,Mid,898104,3,2006,3.29,3.66,4.75,0.9,49,3,0.35,0.94,28,2,0.87,1.0,0,0.85,4.52,0.71,5,0.62,1.0,1.13,1,False,False,0,,0,
E00036,Employee_36,2,IT,Bachelor,Entry,777888,0,2023,2.82,1.97,3.96,1.0,11,2,0.27,0.97,110,2,0.61,0.27,0,0.6,3.5,0.47,4,0.79,0.83,1.17,3,False,False,0,,0,
E00037,Employee_37,19,Legal,PhD,Mid,1028559,0,2016,5.0,5.0,3.18,1.0,43,3,0.47,1.0,30,1,0.26,0.49,0,0.98,3.67,0.82,0,0.53,0.67,0.73,3,False,False,0,,0,
E00038,Employee_38,0,IT,Bachelor,Senior,1625340,0,2025,1.76,1.56,2.03,0.91,34,1,0.1,1.0,49,3,0.69,0.83,0,0.75,3.44,0.59,2,0.58,0.78,0.98,0,False,False,0,,0,
E00039,Employee_39,11,Legal,Bachelor,Entry,682469,2,2022,3.68,3.78,2.33,1.0,4,2,0.09,0.97,86,1,0.77,0.56,0,0.83,3.96,0.49,3,0.43,0.77,0.78,0,False,True,0,,0,
E00040,Employee_40,1,Sales,Master,Leadership,4356341,0,2025,3.8,3.63,3.74,1.0,39,1,0.41,0.89,11,0,0.33,0.01,0,0.65,2.08,0.39,3,0.37,0.61,0.95,3,False,False,0,,0,
E00041,Employee_41,13,Operations,PhD,Mid,984023,1,2014,3.25,2.93,3.49,0.85,15,3,0.16,0.94,14,3,0.75,0.44,0,0.88,2.45,0.53,3,0.83,0.65,1.4,1,False,False,0,,0,
E00042,Employee_42,16,IT,Master,Leadership,4013919,1,2016,3.09,2.98,2.82,1.0,38,1,0.51,0.93,30,0,0.58,0.62,0,0.59,5.0,0.24,4,0.53,0.87,0.82,3,False,False,0,,0,
E00043,Employee_43,17,Operations,PhD,Senior,1348591,0,2023,2.1,2.47,2.99,0.86,48,3,0.11,0.89,16,2,1.0,0.81,0,0.72,4.35,0.48,4,0.42,0.42,0.88,0,False,False,0,,0,
E00044,Employee_44,11,Legal,Master,Entry,582221,0,2024,3.51,2.42,2.73,1.0,61,1,0.44,0.96,3,0,0.07,0.35,0,0.93,4.41,0.74,3,0.41,0.41,1.05,2,False,False,0,,0,
E00045,Employee_45,11,Legal,PhD,Senior,1175175,1,2016,2.49,1.41,2.67,0.96,11,5,0.28,0.94,46,3,0.73,0.34,0,0.95,3.45,0.41,5,0.71,0.64,0.95,1,False,False,0,,0,
E00046,Employee_46,0,Operations,Master,Mid,926673,0,2025,2.48,2.85,1.73,0.96,32,1,0.37,0.92,7,1,0.24,0.88,0,0.6,4.02,0.53,1,0.33,0.64,0.93,0,False,True,0,,0,
E00047,Employee_47,20,Sales,Diploma,Entry,544793,3,2006,3.36,4.01,4.56,0.84,54,6,0.02,0.92,46,0,0.39,0.34,0,0.86,3.0,0.54,3,0.7,1.0,0.86,1,False,True,0,,0,
E00048,Employee_48,17,IT,Diploma,Mid,838140,0,2017,3.81,4.03,3.85,1.0,39,5,0.18,0.92,64,0,0.67,1.0,0,0.75,3.95,0.21,2,0.46,0.45,1.24,1,False,False,1,2025.0,15,
E00049,Employee_49,9,Finance,Bachelor,Entry,689644,0,2022,2.39,2.25,3.42,0.94,42,3,0.32,0.96,7,0,0.6,0.76,0,0.48,3.39,0.36,3,0.64,0.53,1.06,2,False,True,0,,0,
E00050,Employee_50,6,HR,Diploma,Senior,1571304,0,2020,4.7,5.0,3.76,1.0,18,2,0.55,0.93,16,0,0.71,1.0,0,1.0,4.3,0.63,4,0.93,0.57,0.76,3,False,False,1,2025.0,10,
E00051,Employee_51,0,Finance,Bachelor,Entry,622051,0,2025,2.84,1.94,4.25,1.0,33,1,0.44,0.97,42,2,0.93,0.72,1,0.74,3.15,0.03,3,0.53,0.77,1.08,1,False,True,0,,0,
E00052,Employee_52,5,Sales,Diploma,Entry,521247,1,2020,2.76,4.55,3.11,1.0,67,1,0.31,0.95,41,1,0.89,0.7,0,0.63,3.65,0.37,1,0.23,0.45,0.97,3,False,False,0,,0,
E00053,Employee_53,21,HR,Bachelor,Mid,1151343,3,2015,2.74,3.12,2.84,1.0,25,0,0.14,0.98,55,0,0.6,0.0,1,0.68,4.53,0.91,5,0.69,1.0,1.33,1,True,True,0,,0,
E00054,Employee_54,11,Finance,Diploma,Entry,558861,2,2020,3.36,3.93,2.83,0.89,53,1,0.22,0.91,12,1,0.21,0.19,0,0.81,4.21,0.16,0,0.57,0.7,1.0,0,False,True,0,,0,
E00055,Employee_55,23,Legal,PhD,Mid,941453,3,2025,3.49,2.93,3.28,0.99,39,4,0.18,0.87,87,3,0.64,0.44,0,0.78,5.0,0.48,3,0.71,0.42,0.96,3,False,False,0,,0,
E00056,Employee_56,6,Legal,Diploma,Manager,2412462,1,2022,4.13,3.59,2.49,1.0,54,2,0.41,0.85,13,2,0.54,0.84,0,0.53,3.96,0.64,4,1.0,0.86,0.72,2,False,False,0,,0,
E00057,Employee_57,9,Legal,Master,Mid,734111,3,2020,3.77,3.54,3.22,0.93,40,1,0.09,0.95,11,3,0.5,0.44,0,0.95,3.83,0.48,0,0.57,0.29,1.1,1,False,True,0,,0,
E00058,Employee_58,10,Finance,Diploma,Manager,1929375,3,2021,1.9,1.48,4.41,0.89,26,2,0.32,0.85,49,1,0.66,0.54,0,0.62,4.75,0.43,5,0.75,0.5,1.1,3,True,True,0,,0,
E00059,Employee_59,2,Finance,PhD,Senior,993415,0,2025,3.1,3.82,2.58,1.0,37,1,0.32,0.88,15,2,0.57,0.44,0,0.66,4.07,0.6,5,0.59,0.79,1.04,0,False,False,0,,0,
E00060,Employee_60,13,Operations,Bachelor,Senior,1466565,2,2022,3.86,5.0,2.96,1.0,34,0,0.16,0.85,10,1,0.49,0.54,0,0.75,4.44,0.69,5,1.0,0.62,1.23,0,False,True,0,,0,
E00061,Employee_61,11,HR,Master,Entry,687767,3,2022,4.0,3.64,3.67,1.0,49,3,0.09,0.92,31,1,0.05,0.44,1,0.54,3.3,0.16,5,0.51,0.27,0.88,3,False,False,1,2025.0,16,
E00062,Employee_62,12,IT,Master,Mid,895000,3,2025,1.59,1.0,5.0,0.75,32,3,0.22,0.92,3,2,0.7,0.8,0,0.76,3.89,0.74,4,0.68,0.26,0.63,3,False,False,0,,0,
E00063,Employee_63,12,Sales,Master,Mid,1024368,2,2021,2.97,3.53,3.87,1.0,18,1,0.24,0.94,34,1,0.76,0.57,0,0.94,3.56,0.47,5,0.71,0.41,0.66,0,False,True,0,,0,
E00064,Employee_64,4,Operations,PhD,Entry,541898,0,2025,2.86,1.82,4.23,0.94,44,4,0.12,0.84,27,3,0.79,0.0,0,0.87,2.98,0.51,1,0.81,0.93,1.28,2,False,False,0,,0,
E00065,Employee_65,10,Finance,Bachelor,Mid,1030254,1,2018,4.49,4.68,4.31,1.0,37,2,0.26,0.85,4,0,0.43,0.67,0,0.76,3.73,0.61,5,0.99,0.69,0.98,0,False,False,1,2025.0,12,
E00066,Employee_66,4,Operations,PhD,Mid,960441,0,2024,4.26,4.43,3.35,1.0,26,2,0.29,0.94,29,2,0.81,0.3,0,0.64,2.84,0.5,4,1.0,0.62,0.98,0,False,True,0,,0,
E00067,Employee_67,20,Legal,Master,Mid,819728,1,2014,1.52,1.74,3.23,0.89,39,3,0.15,1.0,17,2,0.89,0.0,0,1.0,4.76,0.47,3,0.67,0.95,0.8,2,False,False,0,,0,
E00068,Employee_68,12,Legal,Bachelor,Leadership,3082926,0,2014,4.57,4.4,4.17,1.0,27,2,0.35,0.97,40,0,0.78,0.64,0,0.87,3.3,0.63,0,0.46,0.84,1.09,1,False,False,1,2025.0,9,
E00069,Employee_69,12,Finance,Bachelor,Leadership,2525685,2,2018,3.71,4.27,3.4,0.83,22,3,0.17,0.83,30,0,1.0,0.36,0,0.9,4.12,0.88,5,0.65,0.65,0.9,1,False,True,0,,0,
E00070,Employee_70,20,Finance,PhD,Senior,1622644,0,2015,5.0,5.0,3.8,1.0,40,2,0.42,0.94,18,1,0.88,0.75,0,0.67,3.58,0.36,2,0.97,0.65,1.17,2,False,False,0,,0,
E00071,Employee_71,15,Finance,PhD,Manager,2045419,2,2019,3.61,3.2,1.79,1.0,48,1,0.18,0.94,19,2,0.54,0.54,0,0.8,4.28,0.19,1,0.13,0.92,1.13,0,True,False,0,,0,
E00072,Employee_72,17,Operations,Bachelor,Mid,1118916,0,2024,2.5,2.24,4.97,0.91,47,2,0.32,0.98,45,0,0.78,0.72,0,0.72,2.58,0.27,5,0.74,0.62,1.13,3,True,False,0,,0,
E00073,Employee_73,3,Finance,Diploma,Entry,575204,1,2023,2.26,3.04,4.0,1.0,16,1,0.53,0.89,40,2,0.34,0.06,0,0.95,2.72,0.72,4,0.87,0.2,0.83,2,False,False,0,,0,
E00074,Employee_74,1,Finance,Bachelor,Mid,876259,0,2024,4.33,4.34,3.66,0.94,16,1,0.39,0.99,23,2,0.43,0.4,0,0.82,2.93,0.51,1,0.96,0.4,1.09,1,True,True,0,,0,
E00075,Employee_75,21,IT,Bachelor,Senior,1368950,1,2010,1.43,2.5,2.5,0.8,46,2,0.3,0.92,75,2,0.28,0.56,1,0.7,4.24,0.4,2,1.0,0.35,1.11,1,False,True,0,,0,
E00076,Employee_76,7,Operations,Master,Senior,1374442,2,2022,3.21,2.13,3.89,1.0,41,1,0.17,0.91,3,0,0.51,0.06,0,0.8,4.29,0.0,2,1.0,0.95,0.88,2,True,False,0,,0,
E00077,Employee_77,25,Legal,Master,Mid,807574,3,2002,4.23,2.94,4.63,1.0,61,5,0.11,1.0,19,2,0.55,0.07,0,0.83,4.4,0.14,5,0.05,0.65,1.09,0,False,False,0,,0,
E00078,Employee_78,23,IT,Bachelor,Senior,1484901,2,2004,1.06,1.93,3.38,0.91,68,2,0.19,0.88,30,0,0.59,0.84,0,0.98,3.02,0.43,5,0.82,0.26,0.91,1,False,False,0,,0,
E00079,Employee_79,16,IT,Bachelor,Mid,1102144,3,2022,3.2,3.53,3.1,1.0,42,3,0.28,0.87,5,2,0.6,0.74,0,0.79,4.33,0.66,0,0.61,0.49,0.81,0,False,False,1,2025.0,14,
E00080,Employee_80,0,HR,Diploma,Mid,961291,0,2025,4.03,1.66,4.06,1.0,28,2,0.11,0.93,23,0,1.0,0.51,0,0.87,3.38,0.01,2,0.97,0.65,1.05,2,False,True,1,2025.0,15,
E00081,Employee_81,21,Sales,Master,Senior,1263627,3,2005,4.22,4.24,3.57,1.0,38,3,0.1,0.9,34,0,0.22,0.55,0,0.79,3.35,0.64,2,0.82,0.93,0.99,1,False,False,0,,0,
E00082,Employee_82,4,HR,PhD,Leadership,3359690,0,2024,3.71,4.44,2.21,0.93,54,2,0.42,0.95,2,0,0.7,0.26,0,0.61,4.46,0.75,0,0.41,0.81,1.35,2,False,False,0,,0,
E00083,Employee_83,3,IT,Bachelor,Manager,1935526,1,2022,3.42,2.41,4.5,1.0,20,1,0.25,0.93,40,1,1.0,0.57,1,0.74,2.52,0.44,4,0.0,0.75,1.39,1,False,True,0,,0,
E00084,Employee_84,16,Operations,Master,Senior,1513353,2,2023,2.77,2.29,2.86,0.85,47,2,0.1,0.81,46,2,1.0,0.7,0,0.69,3.83,0.72,5,0.65,0.45,1.21,3,False,False,0,,0,
E00085,Employee_85,8,Operations,PhD,Entry,562164,1,2024,4.29,4.87,2.79,0.89,2,2,0.17,0.94,15,1,0.56,0.72,0,0.78,4.99,0.57,3,0.9,0.69,1.11,2,False,True,0,,0,
E00086,Employee_86,11,Operations,PhD,Entry,687136,3,2019,2.3,2.55,3.31,0.95,34,4,0.3,1.0,58,1,0.57,0.74,0,0.77,3.77,0.46,4,0.24,0.41,1.3,3,False,True,0,,0,
E00087,Employee_87,7,IT,Master,Manager,2438521,1,2022,3.33,3.13,3.8,0.92,27,1,0.22,0.94,16,0,0.66,0.9,0,0.45,3.11,0.68,1,0.83,0.11,0.93,2,False,False,0,,0,
E00088,Employee_88,6,Operations,Bachelor,Entry,605096,1,2025,2.39,2.41,4.02,1.0,46,3,0.28,0.96,41,0,0.74,0.6,0,0.96,3.3,0.22,1,0.65,0.5,0.6,2,True,True,0,,0,
E00089,Employee_89,7,IT,Bachelor,Entry,519265,1,2024,2.66,1.72,3.44,1.0,38,2,0.16,0.92,18,3,0.5,0.46,1,0.74,4.69,0.45,0,1.0,0.25,1.02,0,False,False,0,,0,
E00090,Employee_90,12,Sales,Bachelor,Mid,821827,3,2014,2.68,2.72,4.25,1.0,20,2,0.2,0.99,10,0,0.4,0.78,0,0.64,3.17,0.46,3,0.35,0.84,1.17,3,True,False,0,,0,
E00091,Employee_91,11,IT,Master,Mid,976367,0,2014,2.95,3.6,2.73,1.0,35,2,0.31,0.96,41,0,0.82,0.36,0,0.79,4.08,0.16,5,0.39,0.89,1.13,3,False,True,0,,0,
E00092,Employee_92,7,HR,PhD,Entry,573696,1,2021,5.0,4.18,2.75,1.0,37,2,0.41,1.0,1,2,0.6,0.5,1,0.54,2.58,0.38,4,0.66,0.51,1.31,1,False,False,0,,0,
E00093,Employee_93,15,Legal,Bachelor,Mid,949632,2,2012,1.72,1.0,2.55,1.0,39,0,0.61,1.0,35,0,0.65,0.53,0,0.69,3.52,0.87,3,0.72,0.47,1.13,1,True,False,0,,0,
E00094,Employee_94,22,Legal,Bachelor,Entry,593980,2,2013,3.73,4.06,3.53,1.0,64,2,0.19,0.97,7,0,0.88,0.58,0,0.63,4.3,0.71,0,0.5,0.66,1.16,2,False,False,0,,0,
E00095,Employee_95,20,Finance,Master,Entry,553521,2,2019,3.24,4.39,2.8,0.98,54,1,0.06,0.84,48,1,0.53,0.12,0,0.89,3.44,0.82,3,0.59,0.65,1.12,2,False,True,0,,0,
E00096,Employee_96,23,Legal,Diploma,Entry,549831,2,2023,4.08,5.0,3.45,0.93,45,4,0.36,0.83,32,1,0.75,0.0,0,0.62,3.4,0.98,3,0.68,0.91,0.99,2,False,False,0,,0,
E00097,Employee_97,15,Legal,Diploma,Mid,1110989,1,2014,2.98,3.01,4.44,1.0,65,3,0.08,0.95,10,0,0.54,0.97,0,1.0,3.25,0.75,1,0.52,0.54,1.24,2,False,False,0,,0,
E00098,Employee_98,8,Operations,Bachelor,Entry,617469,0,2020,2.71,3.09,3.71,1.0,38,1,0.05,0.94,26,0,1.0,0.44,0,0.39,3.4,0.42,5,1.0,1.0,0.94,1,False,True,0,,0,
E00099,Employee_99,7,IT,Diploma,Entry,566041,2,2023,5.0,5.0,2.86,1.0,25,1,0.44,0.97,6,2,1.0,0.34,0,0.85,4.4,0.27,4,0.34,0.34,0.91,3,False,True,0,,0,
E00100,Employee_100,10,HR,Diploma,Entry,740815,0,2020,3.07,3.25,3.42,1.0,48,2,0.1,0.83,23,3,0.38,0.12,0,0.55,3.49,0.8,3,0.58,0.48,0.77,3,False,True,0,,0,
E00101,Employee_101,14,Operations,PhD,Entry,501413,1,2016,3.44,4.03,3.43,0.85,51,4,0.33,0.88,3,1,0.38,0.35,0,0.73,4.78,0.49,5,0.69,0.27,1.07,1,False,False,0,,0,
E00102,Employee_102,13,Sales,PhD,Mid,801116,3,2024,3.7,2.99,3.31,1.0,66,3,0.32,0.94,13,2,0.69,0.3,0,0.81,3.63,0.31,1,0.72,0.77,1.16,3,False,False,0,,0,
E00103,Employee_103,25,IT,Bachelor,Senior,1279345,2,2016,3.06,3.15,3.29,0.78,46,5,0.12,0.85,55,1,0.0,0.41,0,0.76,4.4,0.72,4,0.57,0.66,1.37,2,False,False,0,,0,
E00104,Employee_104,5,HR,PhD,Senior,1099430,1,2023,3.25,3.56,3.26,1.0,31,1,0.3,0.84,98,2,0.38,0.0,0,0.72,3.96,0.25,2,0.6,0.49,0.89,3,False,False,0,,0,
E00105,Employee_105,21,Operations,Bachelor,Mid,1020696,2,2019,3.0,3.96,4.5,1.0,37,4,0.15,0.96,19,3,0.53,0.65,0,0.76,3.92,0.8,1,0.68,0.7,0.83,1,False,False,0,,0,
E00106,Employee_106,0,IT,PhD,Mid,1072727,0,2025,2.43,3.03,4.65,1.0,5,0,0.49,0.92,16,0,0.81,0.76,0,0.96,3.35,0.41,2,0.64,0.72,0.93,3,True,False,0,,0,
E00107,Employee_107,10,HR,PhD,Mid,806664,2,2015,4.24,4.3,3.15,1.0,33,2,0.08,0.91,11,3,0.51,0.47,0,0.67,4.34,0.36,4,0.79,0.73,0.98,2,False,True,0,,0,
E00108,Employee_108,9,Legal,Diploma,Entry,759104,0,2024,2.51,2.83,3.18,0.85,57,1,0.22,0.89,8,2,0.54,0.61,0,0.87,5.0,0.61,3,0.0,0.82,1.37,0,False,False,0,,0,
E00109,Employee_109,1,IT,PhD,Mid,1185434,0,2025,2.24,2.24,4.97,0.91,26,0,0.17,0.86,31,0,0.64,0.27,0,0.92,3.44,0.77,1,0.87,0.59,1.23,1,False,True,0,,0,
E00110,Employee_110,15,Sales,Master,Entry,485807,0,2017,2.32,3.2,4.05,0.93,57,5,0.38,0.99,26,3,0.65,1.0,0,0.83,3.16,0.71,3,0.64,0.63,0.97,0,False,False,0,,0,
E00111,Employee_111,15,HR,Master,Leadership,2664124,0,2019,3.7,3.96,3.6,0.94,29,0,0.09,0.89,2,0,0.56,0.47,0,0.32,4.03,0.75,2,0.86,0.52,0.77,1,False,False,0,,0,
E00112,Employee_112,19,HR,Bachelor,Mid,924034,0,2018,4.07,4.22,4.59,0.94,39,1,0.1,0.81,162,1,0.16,0.38,0,0.78,2.19,0.62,2,0.96,0.94,0.85,0,False,False,0,,0,
E00113,Employee_113,12,Legal,PhD,Entry,570847,2,2023,4.46,4.99,4.51,1.0,10,2,0.2,0.98,111,2,0.77,0.04,0,0.84,5.0,0.55,5,1.0,0.87,0.78,2,False,False,0,,0,
E00114,Employee_114,3,IT,Bachelor,Entry,612206,1,2025,2.64,3.45,3.53,1.0,20,4,0.26,0.94,26,0,0.5,0.45,0,0.61,3.82,0.03,4,0.53,0.57,1.21,0,False,True,0,,0,
E00115,Employee_115,14,Operations,Master,Mid,594290,3,2020,2.85,3.13,3.59,0.97,21,2,0.23,0.89,3,3,0.58,0.56,0,1.0,4.49,0.58,1,0.97,0.64,1.27,2,False,False,0,,0,
E00116,Employee_116,6,Operations,PhD,Mid,691720,1,2019,3.16,2.58,4.27,1.0,13,2,0.46,1.0,163,1,0.59,1.0,0,0.71,4.48,0.51,3,0.43,0.54,0.95,1,False,True,0,,0,
E00117,Employee_117,0,Legal,Master,Senior,1344425,0,2025,1.91,1.46,2.93,0.78,25,2,0.22,0.99,6,3,1.0,0.65,0,0.88,3.93,0.86,1,0.67,0.4,0.92,3,False,False,0,,0,
E00118,Employee_118,11,Operations,PhD,Mid,844161,0,2017,2.34,1.9,3.34,0.93,44,0,0.14,0.96,87,1,0.13,0.0,1,0.92,4.69,0.83,0,0.93,0.52,0.8,1,False,False,1,2025.0,16,
E00119,Employee_119,18,Operations,Bachelor,Mid,836460,3,2008,4.76,4.84,3.86,1.0,60,5,0.24,0.96,53,3,0.56,1.0,0,0.77,3.66,0.56,2,1.0,0.38,1.34,2,False,True,0,,0,
